Date,returns,regime
2022-05-20,-0.03742660999960213,panic
2022-05-21,0.007896156156526583,panic
2022-05-22,0.02984011653578575,panic
2022-05-23,-0.04122961033666706,panic
2022-05-24,0.01894978176706928,panic
2022-05-25,-0.0031485281301596416,panic
2022-05-26,-0.010033699544872113,panic
2022-05-27,-0.022097889022563728,panic
2022-05-28,0.006522241153916333,stress
2022-05-29,0.02166399017895866,panic
2022-05-30,0.07459222816391974,panic
2022-05-31,0.0020756074770069063,panic
2022-06-01,-0.06474693067083527,panic
2022-06-02,0.02218263391098452,panic
2022-06-03,-0.02536528971019155,panic
2022-06-04,0.00431741536890466,panic
2022-06-05,0.002468985857085947,panic
2022-06-06,0.04779217112896654,panic
2022-06-07,-0.006883334658869973,panic
2022-06-08,-0.030672946983430784,stress
2022-06-09,-0.0033934595457949636,stress
2022-06-10,-0.03474221923780006,stress
2022-06-11,-0.02517319741030233,stress
2022-06-12,-0.05800108151881945,stress
2022-06-13,-0.17405255177667042,panic
2022-06-14,-0.012556416941057361,panic
2022-06-15,0.01634917508386348,panic
2022-06-16,-0.10211240133010355,panic
2022-06-17,0.004397810882562394,panic
2022-06-18,-0.07366571122488891,panic
2022-06-19,0.07765301952407,panic
2022-06-20,0.002248480532576946,panic
2022-06-21,0.005376928208097346,panic
2022-06-22,-0.03556200532463169,panic
2022-06-23,0.053519949652552336,panic
2022-06-24,0.006889809613761697,panic
2022-06-25,0.01266838104662478,panic
2022-06-26,-0.02234031636729734,panic
2022-06-27,-0.013975180844796839,panic
2022-06-28,-0.022179692795419582,panic
2022-06-29,-0.00874651225988825,panic
2022-06-30,-0.016009711756282033,panic
2022-07-01,-0.02639361166796203,panic
2022-07-02,-0.0014079558563739067,panic
2022-07-03,0.0028449039765122944,panic
2022-07-04,0.04727542718300751,panic
2022-07-05,-0.002035878126304793,panic
2022-07-06,0.017582449257883936,panic
2022-07-07,0.05165639338861742,panic
2022-07-08,0.0043132227124235666,panic
2022-07-09,-0.0064127411638449485,panic
2022-07-10,-0.03447747972502637,panic
2022-07-11,-0.04359596339476734,panic
2022-07-12,-0.03291562138901987,panic
2022-07-13,0.044936759944821686,stress
2022-07-14,0.017549651263241726,stress
2022-07-15,0.012868197042892807,stress
2022-07-16,0.016846296291970084,stress
2022-07-17,-0.01958489970974724,stress
2022-07-18,0.07891967823012867,stress
2022-07-19,0.03940528200341783,stress
2022-07-20,-0.006765243636369361,stress
2022-07-21,-0.0028926217700481673,stress
2022-07-22,-0.019601945764881813,stress
2022-07-23,-0.011044710597189035,stable_range
2022-07-24,0.006375470790258249,stable_range
2022-07-25,-0.056755659782032404,stress
2022-07-26,-0.0057250438268413185,stress
2022-07-27,0.07659542154936112,stress
2022-07-28,0.03905783089201425,stress
2022-07-29,-0.001647644691440151,stress
2022-07-30,-0.006254683466181995,stress
